Link, Anchor Text
"https://www.tbmm.gov.tr/develop/owa/tutanak_dergisi_pdfler.sorgu_ekrani", Sorgu Sayfasına Dön
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gczfih01.pdf", 1. Cilt Fihristi
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001002.pdf", 2. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001008.pdf", 8. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001013.pdf", 13. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001017.pdf", 17. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001021.pdf", 21. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001026.pdf", 26. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001027.pdf", 27. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001028.pdf", 28. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001037.pdf", 37. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001039.pdf", 39. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001045.pdf", 45. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001067.pdf", 67. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001072.pdf", 72. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001080.pdf", 80. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001081.pdf", 81. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001084.pdf", 84. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001085.pdf", 85. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001087.pdf", 87. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001088.pdf", 88. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001089.pdf", 89. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001098.pdf", 98. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001107.pdf", 107. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001111.pdf", 111. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001123.pdf", 123. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001125.pdf", 125. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001126.pdf", 126. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001131.pdf", 131. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001136.pdf", 136. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001137.pdf", 137. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001142.pdf", 142. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001144.pdf", 144. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001145.pdf", 145. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001147.pdf", 147. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001149.pdf", 149. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001150.pdf", 150. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001153.pdf", 153. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT01/gcz01001154.pdf", 154. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gczfih02.pdf", 2. Cilt Fihristi
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002008.pdf", 8. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002010.pdf", 10. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002019.pdf", 19. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002022.pdf", 22. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002029.pdf", 29. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002030.pdf", 30. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002032.pdf", 32. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002033.pdf", 33. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002043.pdf", 43. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002054.pdf", 54. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002057.pdf", 57. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002059.pdf", 59. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002060.pdf", 60. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002061.pdf", 61. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002062.pdf", 62. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002063.pdf", 63. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002064.pdf", 64. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002065.pdf", 65. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002075.pdf", 75. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002083.pdf", 83. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002085.pdf", 85. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002086.pdf", 86. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002087.pdf", 87. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002091.pdf", 91. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002092.pdf", 92. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002093.pdf", 93. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002094.pdf", 94. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002096.pdf", 96. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002100.pdf", 100. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002101.pdf", 101. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002102.pdf", 102. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002115.pdf", 115. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002124.pdf", 124. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002126.pdf", 126. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002127.pdf", 127. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002128.pdf", 128. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002130.pdf", 130. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002133.pdf", 133. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002134.pdf", 134. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002135.pdf", 135. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002137.pdf", 137. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002139.pdf", 139. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002141.pdf", 141. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/GZC/d01/CILT02/gcz01002142.pdf", 142. Birleşim
